 000000">\n 	 : 1
 tbt 	 : 1
 amigos 	 : 1
 familareunida 	 : 1
 honra 	 : 1
 verdade 	 : 1
 fortaleza 	 : 1
 unifor 	 : 1
 praiadofuturo 	 : 1
 smartfit 	 : 1
 viasul 	 : 1
 aldeota 	 : 1
 estacio"}}]},"shortcode":"BnW9XdGncvs","edge_media_to_comment":{"count":1},"taken_at_timestamp":1536181245,"dimensions":{"height":750,"width":750},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/f981cb73232910c751791336da379117/5B92D3DA/t51.2885-15/e35/40171894_289327354992368_1745124955662213258_n.jpg","edge_liked_by":{"count":14},"edge_media_preview_like":{"count":14},"owner":{"id":"751608858"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/95a43e7e93f52fda4e4c8285988d0869/5B92E2BF/t51.2885-15/sh0.08/e35/s640x640/40171894_289327354992368_1745124955662213258_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/62e1b26f5bc3410155e43e4f3227b832/5B92FDD8/t51.2885-15/e35/s150x150/40171894_289327354992368_1745124955662213258_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/9f568cabc299c013553db4b3b861453b/5B9295D2/t51.2885-15/e35/s240x240/40171894_289327354992368_1745124955662213258_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/5a97e102689b6953e992fe45037e98fb/5B92DFA8/t51.2885-15/e35/s320x320/40171894_289327354992368_1745124955662213258_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/6e22f62b9763caf058577ddfb4d0f81e/5B92D472/t51.2885-15/e35/s480x480/40171894_289327354992368_1745124955662213258_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/95a43e7e93f52fda4e4c8285988d0869/5B92E2BF/t51.2885-15/sh0.08/e35/s640x640/40171894_289327354992368_1745124955662213258_n.jpg","config_width":640,"config_height":640}],"is_video":true,"video_view_count":23}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861945531255489891","edge_media_to_caption":{"edges":[{"node":{"text":"\\ud83d\\udcab 	 : 1
 rauca 	 : 1
 cachos 	 : 1
 naturalhair 	 : 1
 cachosbra 	 : 1
 cachosestilosos 	 : 1
 cachosperfeitos 	 : 1
 curlyhair 	 : 1
 todecacho 	 : 1
 cacheada 	 : 1
 cacheadasim 	 : 1
 cabeloslindos 	 : 1
 hidrata\\u00e7\\u00e3o 	 : 1
 cuidadoscommeucabelo 	 : 1
 chegouparacausar 	 : 1
 cabelohidratado 	 : 1
 linhaprofissional 	 : 1
 hair 	 : 1
 hairbeauty 	 : 1
 segredosdesalao 	 : 1
 cabelossaudaveis 	 : 1
 cabelosaudavel 	 : 1
 notanimaltested 	 : 1
 shampoo 	 : 1
 condicionador 	 : 1
 mascaracapilar 	 : 1
 leaveinconditioner 	 : 1
 umidificadordecachos 	 : 1
 aloevera 	 : 1
 dpantenol 	 : 1
 abacate"}}]},"shortcode":"BnW9Zh9nAVj","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536181225,"dimensions":{"height":1080,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/803d9b5806a450f50ff87b40d5a7699f/5C1DA3AF/t51.2885-15/e35/40437364_529340150844065_4668336368909014005_n.jpg","edge_liked_by":{"count":10},"edge_media_preview_like":{"count":10},"owner":{"id":"4871946087"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/6d157397495f6f9eef22542f3a7587d5/5C180A4A/t51.2885-15/sh0.08/e35/s640x640/40437364_529340150844065_4668336368909014005_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/011ebc0cd8125ac064ce0a68d327ddc3/5C2D1BED/t51.2885-15/e35/s150x150/40437364_529340150844065_4668336368909014005_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/67e18f4c5dc3a94bdc4072fa209f6982/5C1B38A7/t51.2885-15/e35/s240x240/40437364_529340150844065_4668336368909014005_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/e6e90448dc720b7d0e1fd62832ea5edd/5C18A01D/t51.2885-15/e35/s320x320/40437364_529340150844065_4668336368909014005_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/811ea856ad81af36113fc1e72441d065/5C17DA47/t51.2885-15/e35/s480x480/40437364_529340150844065_4668336368909014005_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/6d157397495f6f9eef22542f3a7587d5/5C180A4A/t51.2885-15/sh0.08/e35/s640x640/40437364_529340150844065_4668336368909014005_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861945481704165891","edge_media_to_caption":{"edges":[{"node":{"text":"O 	 : 1
 abacate#avocado#alimentacaosaudavel#reeducacaoalimentar#saude#nutricao#nutricaoesportiva 	 : 1
 capixabadagema 	 : 1
 capixaba 	 : 1
 estilodevida#vix#vilavelha 	 : 1
 projetoverao 	 : 1
 projetofitness 	 : 1
 segueoplano\\ud83d\\udc4a"}}]},"shortcode":"BnW9Yz0HtID","edge_media_to_comment":{"count":1},"taken_at_timestamp":1536181219,"dimensions":{"height":1080,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/922119e73dc975a6676ff6992a4a9631/5C18D952/t51.2885-15/e35/37141389_2069011199800205_5835788366099710221_n.jpg","edge_liked_by":{"count":16},"edge_media_preview_like":{"count":16},"owner":{"id":"197872906"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/35bf158334f84e35cb971b81a949bdcc/5C2FDAE8/t51.2885-15/sh0.08/e35/s640x640/37141389_2069011199800205_5835788366099710221_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/6e6c1cce9926d2d322531dc4b9fb9107/5C287C6D/t51.2885-15/e35/s150x150/37141389_2069011199800205_5835788366099710221_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/3b341ba83b70f4f77d30c166c74b3076/5C30286B/t51.2885-15/e35/s240x240/37141389_2069011199800205_5835788366099710221_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/60c141102fba619083d0067e7588a720/5C1EEE15/t51.2885-15/e35/s320x320/37141389_2069011199800205_5835788366099710221_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/798e989b12ad1b6f0befc18d60859fbb/5C306352/t51.2885-15/e35/s480x480/37141389_2069011199800205_5835788366099710221_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/35bf158334f84e35cb971b81a949bdcc/5C2FDAE8/t51.2885-15/sh0.08/e35/s640x640/37141389_2069011199800205_5835788366099710221_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphSidecar","id":"1861944396679150045","edge_media_to_caption":{"edges":[{"node":{"text":"Seu 	 : 1
 pr\\u00e9shampoo 	 : 1
 mel 	 : 1
 oleodecoco 	 : 1
 pontasduplas 	 : 1
 prepoo 	 : 1
 salvacabelo 	 : 1
 querocabelao 	 : 1
 pontassecas"}}]},"shortcode":"BnW9JBTlvnd","edge_media_to_comment":{"count":21},"taken_at_timestamp":1536181090,"dimensions":{"height":1080,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/fff01552b8d503f0943add738dceb4d6/5C2A79C3/t51.2885-15/e35/39962046_260705581240842_5202419559435682265_n.jpg","edge_liked_by":{"count":103},"edge_media_preview_like":{"count":103},"owner":{"id":"3291200645"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/d93e1d12de8fc29a9876f444d4bc7c28/5C27A426/t51.2885-15/sh0.08/e35/s640x640/39962046_260705581240842_5202419559435682265_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/a15e5bfad8c89ca0a76bf32844fc9929/5C3B6381/t51.2885-15/e35/s150x150/39962046_260705581240842_5202419559435682265_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/4966f728b1ce70e137916605d07fb6f7/5C259BCB/t51.2885-15/e35/s240x240/39962046_260705581240842_5202419559435682265_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/2330827e32d4e53d1fdc66c9604180da/5C21E971/t51.2885-15/e35/s320x320/39962046_260705581240842_5202419559435682265_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/47b37e76141242385949b88908e498f1/5C26E92B/t51.2885-15/e35/s480x480/39962046_260705581240842_5202419559435682265_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/d93e1d12de8fc29a9876f444d4bc7c28/5C27A426/t51.2885-15/sh0.08/e35/s640x640/39962046_260705581240842_5202419559435682265_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861934245817969654","edge_media_to_caption":{"edges":[{"node":{"text":"Quando 	 : 1
 ro\\u00e7a 	 : 1
 picphont 	 : 1
 fazenda 	 : 1
 trajanodemoraes 	 : 1
 morarnaro\\u00e7a 	 : 1
 vidanocampo 	 : 1
 vivamacae 	 : 1
 instagram 	 : 1
